Sample,Synthesis,Treatment,Initial sample temperature (K),Yield stress (Mpa),Ultimate  stress (Mpa),KIC (Mpa*m^0.5),Hardness,B (Gpa) ,G (Gpa),E (Gpa) ,Mu,Melting point (K),Sample thickness (mm),Sample diameter (mm),Grain size (µm),Initial density (g/cm3),Longitudinal sound speed (m/s),Shear sound speed (ms),Bulk sound speed (m/s),Flyer,Flyer (processed),Flyer thickness (mm),Flyer diameter (mm),impact velocity (m/s),Peak Stress (Gpa),Strain rate (10^5 s^-1),Pulse duration (µs),Type of experiment,Gas gun diameter (mm),Spall (Gpa),Spall direction,Refereces
Gamma TiAl,"The triple vacuum arc remelted Ti–45Al–5Nb–B–C at. % gamma TiAl material used in the present investigation was supplied by Plansee AG in the form of 38.1 mm round bars. The gamma TiAl ingots were extruded in two steps at a nominal billet preheat temperature of 1280 °C to a final extrusion ratio 14:1 and a diameter of 38.1 mm. The as-extruded bars had a duplex microstructure with a high volume fraction of lamellar grains, which varied slightly from batch to batch. The lamellar grain size was 20 m; small 4 m gamma grains were found to be present in between lamellar colonies in all batches. A fully lamellar microstructure, with a lamellar colony size of 32545 m, was formed by heat treating the 12.7 mm bars at 1340 °C for 40 min in vacuum followed by furnace cooling. Microstructural investigation, Fig. 1, shows that the material consists of fully lamellar microstructure when the material was sectioned normal to the rod axis. However, a layer of about 4.0 mm thickness at the rod circumference had a near-lamellar microstructure.",,,1011,1193,15,431,126,68,172,0.27,1733,7.9,38.1,325±45,3.99,7360,,,,1,3.87,,222,,,,82.5 mm single-stage gas gun,82.5,1.753,,"Shazly, M., & Prakash, V. (2008). Shock response of a gamma titanium aluminide. Journal of Applied Physics, 104(8)."
Gamma TiAl,"The triple vacuum arc remelted Ti–45Al–5Nb–B–C at. % gamma TiAl material used in the present investigation was supplied by Plansee AG in the form of 38.1 mm round bars. The gamma TiAl ingots were extruded in two steps at a nominal billet preheat temperature of 1280 °C to a final extrusion ratio 14:1 and a diameter of 38.1 mm. The as-extruded bars had a duplex microstructure with a high volume fraction of lamellar grains, which varied slightly from batch to batch. The lamellar grain size was 20 m; small 4 m gamma grains were found to be present in between lamellar colonies in all batches. A fully lamellar microstructure, with a lamellar colony size of 32545 m, was formed by heat treating the 12.7 mm bars at 1340 °C for 40 min in vacuum followed by furnace cooling. Microstructural investigation, Fig. 1, shows that the material consists of fully lamellar microstructure when the material was sectioned normal to the rod axis. However, a layer of about 4.0 mm thickness at the rod circumference had a near-lamellar microstructure.",,,1011,1193,15,431,126,68,172,0.27,1733,7.91,38.1,325±45,3.99,7360,,,,1,3.88,,365,,,,82.5 mm single-stage gas gun,82.5,1.726,,"Shazly, M., & Prakash, V. (2008). Shock response of a gamma titanium aluminide. Journal of Applied Physics, 104(8)."
Gamma TiAl,"The triple vacuum arc remelted Ti–45Al–5Nb–B–C at. % gamma TiAl material used in the present investigation was supplied by Plansee AG in the form of 38.1 mm round bars. The gamma TiAl ingots were extruded in two steps at a nominal billet preheat temperature of 1280 °C to a final extrusion ratio 14:1 and a diameter of 38.1 mm. The as-extruded bars had a duplex microstructure with a high volume fraction of lamellar grains, which varied slightly from batch to batch. The lamellar grain size was 20 m; small 4 m gamma grains were found to be present in between lamellar colonies in all batches. A fully lamellar microstructure, with a lamellar colony size of 32545 m, was formed by heat treating the 12.7 mm bars at 1340 °C for 40 min in vacuum followed by furnace cooling. Microstructural investigation, Fig. 1, shows that the material consists of fully lamellar microstructure when the material was sectioned normal to the rod axis. However, a layer of about 4.0 mm thickness at the rod circumference had a near-lamellar microstructure.",,,1011,1193,15,431,126,68,172,0.27,1733,11.93,38.1,325±45,3.99,7360,,,,1,3.85,,235,,,,82.5 mm single-stage gas gun,82.5,1.788,,"Shazly, M., & Prakash, V. (2008). Shock response of a gamma titanium aluminide. Journal of Applied Physics, 104(8)."
Gamma TiAl,"The triple vacuum arc remelted Ti–45Al–5Nb–B–C at. % gamma TiAl material used in the present investigation was supplied by Plansee AG in the form of 38.1 mm round bars. The gamma TiAl ingots were extruded in two steps at a nominal billet preheat temperature of 1280 °C to a final extrusion ratio 14:1 and a diameter of 38.1 mm. The as-extruded bars had a duplex microstructure with a high volume fraction of lamellar grains, which varied slightly from batch to batch. The lamellar grain size was 20 m; small 4 m gamma grains were found to be present in between lamellar colonies in all batches. A fully lamellar microstructure, with a lamellar colony size of 32545 m, was formed by heat treating the 12.7 mm bars at 1340 °C for 40 min in vacuum followed by furnace cooling. Microstructural investigation, Fig. 1, shows that the material consists of fully lamellar microstructure when the material was sectioned normal to the rod axis. However, a layer of about 4.0 mm thickness at the rod circumference had a near-lamellar microstructure.",,,1011,1193,15,431,126,68,172,0.27,1733,15.8,38.1,325±45,3.99,7360,,,,1,3.85,,235,,,,82.5 mm single-stage gas gun,82.5,1.937,,"Shazly, M., & Prakash, V. (2008). Shock response of a gamma titanium aluminide. Journal of Applied Physics, 104(8)."
V,"The billets for the preparation of vanadium samples were cut from a 6mm thick plate of vanadium of 99.38% purity containing 0.15% Fe, 0.2% Al, 0.2% Si, and up to 0.01%, 0.001%, 0.03%, and 0.03% N, H, O, and C, respectively. The billets were annealed in a vacuum (10−4 Torr) furnace at 1000 °C for 1 h and cooled with the furnace. The samples, 2 × 20 × 20mm3 squares, were cut from the billets by electrical discharge machining (EDM) and ground to 0.2 mrad parallelism. Three groups of the samples were prepared. The first group, VA0 in follows, contained undeformed samples. The samples of two other groups, VA0.6 and VA5.5, were deformed, by applying uniaxial stress equal to 375 and 625 MPa, up to residual strains equal to 0.6% and 5.5%, respectively",,,411,440,37,159,163±2,48.3±0.3,228±1,0.365±0.003,2156.5,2,,58±16,6.11±0.01,6090±20,2810±20,,Cu,0,0.5,,300,6,,,50mm smooth bore gas gun,50,4.44,,"Zaretsky, E. B., Frage, N., Kalabukhov, S., Savinykh, A. S., Garkushin, G. V., & Razorenov, S. V. (2022). Impact response of pre-strained pure vanadium. Journal of Applied Physics, 131(21)."
V,"The billets for the preparation of vanadium samples were cut from a 6mm thick plate of vanadium of 99.38% purity containing 0.15% Fe, 0.2% Al, 0.2% Si, and up to 0.01%, 0.001%, 0.03%, and 0.03% N, H, O, and C, respectively. The billets were annealed in a vacuum (10−4 Torr) furnace at 1000 °C for 1 h and cooled with the furnace. The samples, 2 × 20 × 20mm3 squares, were cut from the billets by electrical discharge machining (EDM) and ground to 0.2 mrad parallelism. Three groups of the samples were prepared. The first group, VA0 in follows, contained undeformed samples. The samples of two other groups, VA0.6 and VA5.5, were deformed, by applying uniaxial stress equal to 375 and 625 MPa, up to residual strains equal to 0.6% and 5.5%, respectively",,,411,440,37,159,163±2,48.3±0.3,228±1,0.365±0.003,2156.5,2,,58±16,6.11±0.01,6090±20,2810±20,,Cu,0,0.5,,470,9.3,,,50mm smooth bore gas gun,50,4.39,,"Zaretsky, E. B., Frage, N., Kalabukhov, S., Savinykh, A. S., Garkushin, G. V., & Razorenov, S. V. (2022). Impact response of pre-strained pure vanadium. Journal of Applied Physics, 131(21)."
V,"The billets for the preparation of vanadium samples were cut from a 6mm thick plate of vanadium of 99.38% purity containing 0.15% Fe, 0.2% Al, 0.2% Si, and up to 0.01%, 0.001%, 0.03%, and 0.03% N, H, O, and C, respectively. The billets were annealed in a vacuum (10−4 Torr) furnace at 1000 °C for 1 h and cooled with the furnace. The samples, 2 × 20 × 20mm3 squares, were cut from the billets by electrical discharge machining (EDM) and ground to 0.2 mrad parallelism. Three groups of the samples were prepared. The first group, VA0 in follows, contained undeformed samples. The samples of two other groups, VA0.6 and VA5.5, were deformed, by applying uniaxial stress equal to 375 and 625 MPa, up to residual strains equal to 0.6% and 5.5%, respectively",,,411,440,37,159,163±2,48.3±0.3,228±1,0.365±0.003,2156.5,2,,58±16,6.11±0.01,6090±20,2810±20,,Cu,0,0.5,,610,12.1,,,50mm smooth bore gas gun,50,4.8,,"Zaretsky, E. B., Frage, N., Kalabukhov, S., Savinykh, A. S., Garkushin, G. V., & Razorenov, S. V. (2022). Impact response of pre-strained pure vanadium. Journal of Applied Physics, 131(21)."
V 0.6 pre-strained,"The billets for the preparation of vanadium samples were cut from a 6mm thick plate of vanadium of 99.38% purity containing 0.15% Fe, 0.2% Al, 0.2% Si, and up to 0.01%, 0.001%, 0.03%, and 0.03% N, H, O, and C, respectively. The billets were annealed in a vacuum (10−4 Torr) furnace at 1000 °C for 1 h and cooled with the furnace. The samples, 2 × 20 × 20mm3 squares, were cut from the billets by electrical discharge machining (EDM) and ground to 0.2 mrad parallelism. Three groups of the samples were prepared. The first group, VA0 in follows, contained undeformed samples. The samples of two other groups, VA0.6 and VA5.5, were deformed, by applying uniaxial stress equal to 375 and 625 MPa, up to residual strains equal to 0.6% and 5.5%, respectively",,,,,,,162±2,48.5±0.3,226±1,0.363±0.003,,2,,61±17,6.11±0.01,6080±20,2820±20,,Cu,0,0.5,,300,6,,,50mm smooth bore gas gun,50,3.97,,"Zaretsky, E. B., Frage, N., Kalabukhov, S., Savinykh, A. S., Garkushin, G. V., & Razorenov, S. V. (2022). Impact response of pre-strained pure vanadium. Journal of Applied Physics, 131(21)."
V 0.6 pre-strained,"The billets for the preparation of vanadium samples were cut from a 6mm thick plate of vanadium of 99.38% purity containing 0.15% Fe, 0.2% Al, 0.2% Si, and up to 0.01%, 0.001%, 0.03%, and 0.03% N, H, O, and C, respectively. The billets were annealed in a vacuum (10−4 Torr) furnace at 1000 °C for 1 h and cooled with the furnace. The samples, 2 × 20 × 20mm3 squares, were cut from the billets by electrical discharge machining (EDM) and ground to 0.2 mrad parallelism. Three groups of the samples were prepared. The first group, VA0 in follows, contained undeformed samples. The samples of two other groups, VA0.6 and VA5.5, were deformed, by applying uniaxial stress equal to 375 and 625 MPa, up to residual strains equal to 0.6% and 5.5%, respectively",,,,,,,162±2,48.5±0.3,226±1,0.363±0.003,,2,,61±17,6.11±0.01,6080±20,2820±20,,Cu,0,0.5,,470,9.3,,,50mm smooth bore gas gun,50,4.21,,"Zaretsky, E. B., Frage, N., Kalabukhov, S., Savinykh, A. S., Garkushin, G. V., & Razorenov, S. V. (2022). Impact response of pre-strained pure vanadium. Journal of Applied Physics, 131(21)."
V 0.6 pre-strained,"The billets for the preparation of vanadium samples were cut from a 6mm thick plate of vanadium of 99.38% purity containing 0.15% Fe, 0.2% Al, 0.2% Si, and up to 0.01%, 0.001%, 0.03%, and 0.03% N, H, O, and C, respectively. The billets were annealed in a vacuum (10−4 Torr) furnace at 1000 °C for 1 h and cooled with the furnace. The samples, 2 × 20 × 20mm3 squares, were cut from the billets by electrical discharge machining (EDM) and ground to 0.2 mrad parallelism. Three groups of the samples were prepared. The first group, VA0 in follows, contained undeformed samples. The samples of two other groups, VA0.6 and VA5.5, were deformed, by applying uniaxial stress equal to 375 and 625 MPa, up to residual strains equal to 0.6% and 5.5%, respectively",,,,,,,162±2,48.5±0.3,226±1,0.363±0.003,,2,,61±17,6.11±0.01,6080±20,2820±20,,Cu,0,0.5,,610,12.1,,,50mm smooth bore gas gun,50,4.53,,"Zaretsky, E. B., Frage, N., Kalabukhov, S., Savinykh, A. S., Garkushin, G. V., & Razorenov, S. V. (2022). Impact response of pre-strained pure vanadium. Journal of Applied Physics, 131(21)."
93W,"An elemental mixture of tungsten, nickel, and iron powders was isostatically pressed at 207 MPa and room temperature. This pressed material was then sintered in a molybdenum wound furnace at 1793 K in a dry hydrogen atmosphere to prevent oxidation of the elemental powder surfaces. The sintered material was then vacuum- annealed at 1273 K for 10 h to remove the adsorbed hydrogen. The annealed mate- rial was subsequently heated in an inert gas atmosphere to 1373 K and kept at this temperature for 1 h before being water-quenched. The quenched material was then machined into a bar shape and swaged to a 17% reduction in area.",,,,,,,,,,0.292±0.019,,2.004,31.5±1,26.5,17.75±0.05,5180±50,2810±40,,Al2O3,1,1.955,,248.8,7.14,,,10 cm diameter single-stage gas gun facility,100,1.8,,"Dandekar, D. P., & Weisgerber, W. J. (1999). Shock response of a heavy tungsten alloy. International journal of plasticity, 15(12), 1291-1309."
93W,"An elemental mixture of tungsten, nickel, and iron powders was isostatically pressed at 207 MPa and room temperature. This pressed material was then sintered in a molybdenum wound furnace at 1793 K in a dry hydrogen atmosphere to prevent oxidation of the elemental powder surfaces. The sintered material was then vacuum- annealed at 1273 K for 10 h to remove the adsorbed hydrogen. The annealed mate- rial was subsequently heated in an inert gas atmosphere to 1373 K and kept at this temperature for 1 h before being water-quenched. The quenched material was then machined into a bar shape and swaged to a 17% reduction in area.",,,,,,,,,,0.292±0.019,,3,31.5±1,26.5,17.75±0.05,5180±50,2810±40,,93W,1,1.985,,511.6,20.1,,,10 cm diameter single-stage gas gun facility,100,1.9,,"Dandekar, D. P., & Weisgerber, W. J. (1999). Shock response of a heavy tungsten alloy. International journal of plasticity, 15(12), 1291-1309."
93W,"An elemental mixture of tungsten, nickel, and iron powders was isostatically pressed at 207 MPa and room temperature. This pressed material was then sintered in a molybdenum wound furnace at 1793 K in a dry hydrogen atmosphere to prevent oxidation of the elemental powder surfaces. The sintered material was then vacuum- annealed at 1273 K for 10 h to remove the adsorbed hydrogen. The annealed mate- rial was subsequently heated in an inert gas atmosphere to 1373 K and kept at this temperature for 1 h before being water-quenched. The quenched material was then machined into a bar shape and swaged to a 17% reduction in area.",,,,,,,,,,0.292±0.019,,5.971,31.5±1,26.5,17.75±0.05,5180±50,2810±40,,93W,1,2.992,,604.5,23.71,,,10 cm diameter single-stage gas gun facility,100,2,,"Dandekar, D. P., & Weisgerber, W. J. (1999). Shock response of a heavy tungsten alloy. International journal of plasticity, 15(12), 1291-1309."
93W,"An elemental mixture of tungsten, nickel, and iron powders was isostatically pressed at 207 MPa and room temperature. This pressed material was then sintered in a molybdenum wound furnace at 1793 K in a dry hydrogen atmosphere to prevent oxidation of the elemental powder surfaces. The sintered material was then vacuum- annealed at 1273 K for 10 h to remove the adsorbed hydrogen. The annealed mate- rial was subsequently heated in an inert gas atmosphere to 1373 K and kept at this temperature for 1 h before being water-quenched. The quenched material was then machined into a bar shape and swaged to a 17% reduction in area.",,,,,,,,,,0.292±0.019,,6.106,31.5±1,26.5,17.75±0.05,5180±50,2810±40,,93W,1,2.978,,410.5,15.87,,,10 cm diameter single-stage gas gun facility,100,2,,"Dandekar, D. P., & Weisgerber, W. J. (1999). Shock response of a heavy tungsten alloy. International journal of plasticity, 15(12), 1291-1309."
93W,"An elemental mixture of tungsten, nickel, and iron powders was isostatically pressed at 207 MPa and room temperature. This pressed material was then sintered in a molybdenum wound furnace at 1793 K in a dry hydrogen atmosphere to prevent oxidation of the elemental powder surfaces. The sintered material was then vacuum- annealed at 1273 K for 10 h to remove the adsorbed hydrogen. The annealed mate- rial was subsequently heated in an inert gas atmosphere to 1373 K and kept at this temperature for 1 h before being water-quenched. The quenched material was then machined into a bar shape and swaged to a 17% reduction in area.",,,,,,,,,,0.292±0.019,,6.113,31.5±1,26.5,17.75±0.05,5180±50,2810±40,,93W,1,2.969,,247.8,9.8,,,10 cm diameter single-stage gas gun facility,100,1.9,,"Dandekar, D. P., & Weisgerber, W. J. (1999). Shock response of a heavy tungsten alloy. International journal of plasticity, 15(12), 1291-1309."
